"Kenyan Tea Price Index Monthly Value from January 2013 to December 2022, (Source IMF Commodity Price Data Portal, https://www.imf.org/en/Research/commodity-prices)",
Month,Index
1,117.8950045
2,111.6460603
3,103.4672094
4,92.65251121
5,94.75891797
6,88.37723703
7,89.11932494
8,86.29640227
9,80.19160683
10,77.13862853
11,81.84876947
12,85.47672306
13,86.62965094
14,89.40543112
15,82.70748102
16,77.72572142
17,76.37396974
18,77.82638378
19,80.85250687
20,82.02955085
21,81.04757927
22,89.13308004
23,84.65991992
24,84.64891583
25,93.80293817
26,103.1041401
27,107.0040875
28,101.1512904
29,109.176888
30,123.8147015
31,140.2195398
32,134.7574531
33,129.1498065
34,136.3255946
35,123.0819891
36,119.5043518
37,111.2709389
38,99.94197251
39,91.74654998
40,82.79787171
41,86.02317586
42,93.55847244
43,97.45622855
44,95.99687741
45,103.6678493
46,106.0885394
47,114.3236791
48,117.1278448
49,128.2869863
50,133.2064996
51,123.8922302
52,125.9775042
53,129.2429661
54,132.629848
55,129.2134908
56,126.1755777
57,125.7786446
58,126.0867947
59,120.0285822
60,111.6489913
61,113.5730132
62,120.5560327
63,115.2525171
64,108.6937985
65,102.0367483
66,99.79806525
67,99.40673523
68,95.08470327
69,99.8960691
70,98.84293752
71,96.80175202
72,95.27481105
73,94.20365201
74,97.20473284
75,93.52581942
76,90.56994134
77,95.18106825
78,87.75339318
79,84.26429256
80,89.69201882
81,96.10407432
82,99.47619311
83,96.52624471
84,95.53524084
85,97.60395919
86,92.97775179
87,90.49798047
88,89.50492057
89,85.68551214
90,79.94851806
91,81.6211388
92,86.19814761
93,92.61362983
94,88.36793895
95,88.95733268
96,86.17782575
97,86.65047303
98,92.64529261
99,88.68331525
100,83.38824728
101,84.97686898
102,79.32965464
103,78.42294777
104,89.73519533
105,101.8246202
106,109.9150772
107,109.8266681
108,110.1589396
109,108.678721
110,109.2682518
111,98.26474763
112,94.15907501
113,91.66374644
114,92.29700203
115,92.01806802
116,91.23010403
117,93.50594452
118,95.69698144
119,98.55759706
120,95.07469132
